episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-1907.204140210132,-2051.9308181458177,-1961.5503810694142,242.0,20,5,4840,4840,False,20,1,4524ca0f009643b5bd57e41ceba4c6c1,2021-06-19_20-58-51,1624125531,12.849265098571777,12.849265098571777,20614,hany606,192.168.0.103,12.849265098571777,0,1,dce5d_00000,"[-1907.204140210132, -1982.554223145375, -2030.8209627443396, -1995.485383206235, -1989.6892452824284, -1916.7732251474008, -1968.5693202220073, -1961.3744675920561, -2051.9308181458177, -1961.1700151638017, -1969.1877025374251, -1940.4305187558032, -1971.9397566974528, -1959.7038008982156, -1923.5508717074715, -1954.755914457124, -1911.4410958702092, -1932.5645159563796, -1967.435163235334, -1934.4264804132783]","[242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242]",0.2256642431174516,1.3873410790820366,0.08665700938064372,2.3453866980270215,0.0,4108.135,1178.15,8733.847,554.166,2.784,4840,4840,4840,32.08125,86.98124999999999,0.210625,0.3569788506909336,0.0,0.20000000000000004,4.999999999999999e-05,419333.42351973685,-0.008537590258607739,419333.4243421053,4.731354e-05,0.008177014778515226,5.634509136802272,0.0
-1907.204140210132,-2051.9308181458177,-1967.235654236812,242.0,20,5,9680,9680,False,40,2,4524ca0f009643b5bd57e41ceba4c6c1,2021-06-19_20-59-03,1624125543,11.987284660339355,24.836549758911133,20614,hany606,192.168.0.103,24.836549758911133,0,2,dce5d_00000,"[-1907.204140210132, -1982.554223145375, -2030.8209627443396, -1995.485383206235, -1989.6892452824284, -1916.7732251474008, -1968.5693202220073, -1961.3744675920561, -2051.9308181458177, -1961.1700151638017, -1969.1877025374251, -1940.4305187558032, -1971.9397566974528, -1959.7038008982156, -1923.5508717074715, -1954.755914457124, -1911.4410958702092, -1932.5645159563796, -1967.435163235334, -1934.4264804132783, -1944.6286644392349, -1952.9788225589946, -2011.669268337255, -1968.059671909445, -2026.8841826675311, -1964.2438033198441, -1947.263440420636, -2017.497152391365, -1986.0226189045202, -2005.2566645223558, -1965.0155771434686, -1942.2219149150062, -1952.5190168518534, -1974.2150210099621, -1959.8885460397514, -1979.6662227222137, -1966.5805722088498, -1981.9607693131968, -1962.0451521595946, -1949.8014662491182]","[242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242]",0.2301999629967002,1.365717248183193,0.08669457943702438,2.355807944874754,0.0,4154.991,1164.864,8255.398,586.283,2.943,9680,9680,9680,33.625,87.5375,0.221875,0.35768452982810917,0.0,0.20000000000000004,4.999999999999999e-05,411586.87664473685,-0.0068494840525090694,411586.88075657893,2.6514655e-05,0.008622817621615372,5.595695796765779,0.0
-1891.3882957178744,-2051.9308181458177,-1967.295745616836,242.0,20,5,14520,14520,False,60,3,4524ca0f009643b5bd57e41ceba4c6c1,2021-06-19_20-59-15,1624125555,11.936421871185303,36.772971630096436,20614,hany606,192.168.0.103,36.772971630096436,0,3,dce5d_00000,"[-1907.204140210132, -1982.554223145375, -2030.8209627443396, -1995.485383206235, -1989.6892452824284, -1916.7732251474008, -1968.5693202220073, -1961.3744675920561, -2051.9308181458177, -1961.1700151638017, -1969.1877025374251, -1940.4305187558032, -1971.9397566974528, -1959.7038008982156, -1923.5508717074715, -1954.755914457124, -1911.4410958702092, -1932.5645159563796, -1967.435163235334, -1934.4264804132783, -1944.6286644392349, -1952.9788225589946, -2011.669268337255, -1968.059671909445, -2026.8841826675311, -1964.2438033198441, -1947.263440420636, -2017.497152391365, -1986.0226189045202, -2005.2566645223558, -1965.0155771434686, -1942.2219149150062, -1952.5190168518534, -1974.2150210099621, -1959.8885460397514, -1979.6662227222137, -1966.5805722088498, -1981.9607693131968, -1962.0451521595946, -1949.8014662491182, -1964.4120246887621, -1961.681936052843, -1940.8970345402975, -1986.058911912448, -1984.8660720681685, -1968.4039486883933, -1891.3882957178744, -1945.6991628497547, -2014.919402330484, -1998.9558027227188, -1998.0193599203503, -1965.1120586971845, -1955.5682891023885, -1962.9830038881432, -1993.8041726240956, -2029.2187137906662, -1935.7601282254661, -1927.2849403086427, -1943.4596607716694, -1979.8256486373396]","[242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242]",0.23239099944432728,1.3584604600163082,0.086958039793612,2.3697727608284027,0.0,4201.661,1151.925,8047.401,601.436,3.114,14520,14520,14520,33.51333333333333,88.0,0.1953333333333334,0.35734187169980897,0.0,0.20000000000000004,4.999999999999999e-05,397129.8519736842,-0.006690304530294318,397129.85279605264,4.024882e-06,0.00847249054104874,5.564339587562962,0.0
-1891.3882957178744,-2088.096759329727,-1969.1165363958105,242.0,20,5,19360,19360,False,80,4,4524ca0f009643b5bd57e41ceba4c6c1,2021-06-19_20-59-27,1624125567,12.298701047897339,49.071672677993774,20614,hany606,192.168.0.103,49.071672677993774,0,4,dce5d_00000,"[-1907.204140210132, -1982.554223145375, -2030.8209627443396, -1995.485383206235, -1989.6892452824284, -1916.7732251474008, -1968.5693202220073, -1961.3744675920561, -2051.9308181458177, -1961.1700151638017, -1969.1877025374251, -1940.4305187558032, -1971.9397566974528, -1959.7038008982156, -1923.5508717074715, -1954.755914457124, -1911.4410958702092, -1932.5645159563796, -1967.435163235334, -1934.4264804132783, -1944.6286644392349, -1952.9788225589946, -2011.669268337255, -1968.059671909445, -2026.8841826675311, -1964.2438033198441, -1947.263440420636, -2017.497152391365, -1986.0226189045202, -2005.2566645223558, -1965.0155771434686, -1942.2219149150062, -1952.5190168518534, -1974.2150210099621, -1959.8885460397514, -1979.6662227222137, -1966.5805722088498, -1981.9607693131968, -1962.0451521595946, -1949.8014662491182, -1964.4120246887621, -1961.681936052843, -1940.8970345402975, -1986.058911912448, -1984.8660720681685, -1968.4039486883933, -1891.3882957178744, -1945.6991628497547, -2014.919402330484, -1998.9558027227188, -1998.0193599203503, -1965.1120586971845, -1955.5682891023885, -1962.9830038881432, -1993.8041726240956, -2029.2187137906662, -1935.7601282254661, -1927.2849403086427, -1943.4596607716694, -1979.8256486373396, -1946.2223718614844, -2088.096759329727, -1920.1572882020075, -2007.127890145168, -1975.278899305393, -1963.1631108423946, -1970.4178374024832, -1964.520204884068, -1982.0107633816222, -1972.8735313338968, -1956.005788815408, -1966.2676545994864, -1952.1328921684978, -1974.1719883481665, -1959.4343896979071, -2003.4818674790886, -2036.6722994688378, -1910.677987693619, -1911.0897797079779, -2031.7748699874487]","[242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242]",0.2339162543744422,1.3578620611594514,0.08740136872443646,2.385580839651806,0.0,4244.719,1140.24,8014.743,603.887,3.084,19360,19360,19360,35.32666666666667,88.62666666666668,0.26733333333333337,0.3595214020896529,0.0,0.20000000000000004,4.999999999999999e-05,388098.2919407895,-0.01079844234903392,388098.3018092105,-1.2046412e-06,0.012779100675527988,5.46720374257941,0.0
-1865.4679014550275,-2088.096759329727,-1966.0925330069797,242.0,20,5,24200,24200,False,100,5,4524ca0f009643b5bd57e41ceba4c6c1,2021-06-19_20-59-39,1624125579,11.731353521347046,60.80302619934082,20614,hany606,192.168.0.103,60.80302619934082,0,5,dce5d_00000,"[-1907.204140210132, -1982.554223145375, -2030.8209627443396, -1995.485383206235, -1989.6892452824284, -1916.7732251474008, -1968.5693202220073, -1961.3744675920561, -2051.9308181458177, -1961.1700151638017, -1969.1877025374251, -1940.4305187558032, -1971.9397566974528, -1959.7038008982156, -1923.5508717074715, -1954.755914457124, -1911.4410958702092, -1932.5645159563796, -1967.435163235334, -1934.4264804132783, -1944.6286644392349, -1952.9788225589946, -2011.669268337255, -1968.059671909445, -2026.8841826675311, -1964.2438033198441, -1947.263440420636, -2017.497152391365, -1986.0226189045202, -2005.2566645223558, -1965.0155771434686, -1942.2219149150062, -1952.5190168518534, -1974.2150210099621, -1959.8885460397514, -1979.6662227222137, -1966.5805722088498, -1981.9607693131968, -1962.0451521595946, -1949.8014662491182, -1964.4120246887621, -1961.681936052843, -1940.8970345402975, -1986.058911912448, -1984.8660720681685, -1968.4039486883933, -1891.3882957178744, -1945.6991628497547, -2014.919402330484, -1998.9558027227188, -1998.0193599203503, -1965.1120586971845, -1955.5682891023885, -1962.9830038881432, -1993.8041726240956, -2029.2187137906662, -1935.7601282254661, -1927.2849403086427, -1943.4596607716694, -1979.8256486373396, -1946.2223718614844, -2088.096759329727, -1920.1572882020075, -2007.127890145168, -1975.278899305393, -1963.1631108423946, -1970.4178374024832, -1964.520204884068, -1982.0107633816222, -1972.8735313338968, -1956.005788815408, -1966.2676545994864, -1952.1328921684978, -1974.1719883481665, -1959.4343896979071, -2003.4818674790886, -2036.6722994688378, -1910.677987693619, -1911.0897797079779, -2031.7748699874487, -1977.2831164240417, -1969.477990791241, -1937.4312348667474, -1988.8277964096617, -1956.5246813278645, -1890.1671881313243, -1955.5451528151061, -1978.1881092764877, -1989.8998781816795, -1951.033990313567, -1975.714586007308, -1938.4096959956507, -1919.0178154832718, -1901.6301241710332, -1990.7575617543303, -1927.4273110665204, -1865.4679014550275, -1991.3008350839805, -1983.0971947750645, -1992.72822470322]","[242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242]",0.23469229643998624,1.3547273660367098,0.08752694725752594,2.3919509453642784,0.0,4214.841,1148.323,7937.29,609.78,3.001,24200,24200,24200,32.35333333333333,89.17999999999998,0.19333333333333333,0.36027412650264007,0.0,0.20000000000000004,4.999999999999999e-05,366898.8799342105,-0.005559955135379967,366898.88898026315,4.391921e-08,0.007224278708331679,5.463658822210212,0.0
